galaxy,profile,chi2,chi2_red,n_dof,AIC,BIC,success,r_core
NGC3893,sidm,1.3709426436610221,0.22849044061017035,6,9.370942643661023,10.581283015637204,True,1.5173059088837295
NGC4214,sidm,9.459550092581987,0.9459550092581986,10,17.459550092581985,20.01577941104302,True,1.871042547498783
NGC0300,sidm,9.301067718725198,0.4429079866059618,21,17.3010677187252,22.176571018198,True,1.9051462416781513
NGC3769,sidm,4.955469637196954,0.6194337046496192,8,12.955469637196954,14.895096236348955,True,1.7548263214395388
UGC06983,sidm,2.6413051766605617,0.20317732128158167,13,10.641305176660563,13.974158552885427,True,1.7958022953373316
UGC05764,sidm,66.83804846353239,11.139674743922065,6,74.83804846353239,76.04838883550858,True,1.1870570633246287
UGC11557,sidm,3.8831840782985587,0.5547405826140798,7,11.883184078298559,13.474765169492041,True,1.9219302109296204
UGC12632,sidm,1.6809708712962381,0.15281553375420345,11,9.680970871296239,12.513171675705077,True,1.8866419232160745
NGC1705,sidm,12.01522609834898,1.2015226098348981,10,20.015226098348982,22.571455416810014,True,1.4660935528396737
NGC6015,sidm,248.5979820260774,6.214949550651935,40,256.5979820260774,263.73474056175047,True,1.48674541415597
NGC3972,sidm,4.199579815613512,0.6999299692689186,6,12.199579815613511,13.409920187589695,True,1.7114465983280458
NGC0247,sidm,66.92036598100086,3.041834817318221,22,74.92036598100086,79.95275213308679,True,1.9144842766652492
UGC07323,sidm,3.662294281626254,0.6103823802710423,6,11.662294281626254,12.872634653602436,True,1.9683038344893455
UGC03580,sidm,118.78658557082834,2.76247873420531,43,126.78658557082834,134.18717597766857,True,1.7852742107138755
UGC06930,sidm,0.8957131683006281,0.14928552805010467,6,8.895713168300627,10.10605354027681,True,1.8616190681103972
UGC12732,sidm,15.267042815501256,1.272253567958438,12,23.267042815501256,26.357397704460382,True,1.924360451482836
F568-3,sidm,25.90808034408118,1.85057716743437,14,33.908080344081185,37.46956737566584,True,1.9103081386203937
UGC09133,sidm,221.0557801184064,3.4539965643501,64,229.0557801184064,237.93381093911083,True,1.702765166573259
UGC04278,sidm,8.314870318960608,0.4157435159480304,20,16.314870318960608,21.02708564035239,True,1.8633850049643192
UGC06917,sidm,1.6055106237167978,0.22935866053097112,7,9.605510623716798,11.19709171491028,True,1.8623491839013773
UGC09037,sidm,7.710866210675505,0.42838145614863915,18,15.710866210675505,20.07503602410877,True,1.695723527220593
NGC2403,sidm,199.63439936598735,2.8932521647244545,69,207.63439936598735,216.79623713058092,True,1.8056203844974312
F583-1,sidm,5.733074805031036,0.273003562144335,21,13.733074805031036,18.608578104503838,True,2.6901930979672874
F563-V2,sidm,1.9149520848133688,0.31915868080222815,6,9.914952084813368,11.12529245678955,True,1.7051025130837525
NGC4559,sidm,7.826254971532622,0.2795091061261651,28,15.826254971532622,21.689198582731528,True,1.789641616676377
F579-V1,sidm,7.638946077270908,0.7638946077270907,10,15.638946077270909,18.19517539573194,True,1.552017630341057
DDO064,sidm,4.058986631668851,0.40589866316688517,10,12.058986631668851,14.615215950129885,True,1.2527197855055565
UGC07399,sidm,34.0217691380146,5.670294856335766,6,42.0217691380146,43.23210950999078,True,1.6145843097873542
